Year,State,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of Labor Force Unemployed in State/Area,total_import,GDP,Real GDP*,Effective Federal Funds Rate,Inflation Rate,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
1993,Hawaii,6.89,7.61,7.61,144.5,850657.6666666666,582391.3333333334,4.383333333333334,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1172000,261.2,3.8,33.6,103.6,120.1,6015.8,1135.7,4429.4,450.8
1993,Idaho,7.61,7.61,7.61,144.5,802922.0833333334,551559.25,6.075,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1099000,281.8,2.9,35.3,16.9,226.7,3563.3,668.8,2711.1,183.4
1993,Illinois,7.61,7.61,7.61,144.5,8928912.25,6079377.166666667,7.491666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,11697000,959.7,11.4,34.6,381.2,532.6,4658.2,1015.5,3084.0,558.7
1993,Indiana,6.0,7.61,7.61,144.5,4342363.916666667,2949977.5833333335,5.116666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,5713000,489.1,7.5,39.1,119.8,322.6,3976.0,852.0,2695.9,428.1
1993,Iowa,8.32,7.61,8.32,144.5,2142777.6666666665,1555878.5,4.141666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,2814000,325.5,2.3,24.4,53.9,244.8,3521.0,730.7,2599.4,190.8
1993,Kansas,4.74,7.61,7.61,144.5,1879835.4166666667,1328630.8333333333,4.941666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,2531000,496.4,6.4,40.1,123.6,326.3,4478.9,1132.2,3024.0,322.7
1993,Kentucky,7.61,7.61,7.61,144.5,2894782.4166666665,1800427.8333333333,6.191666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3789000,462.7,6.6,34.3,90.4,331.4,2797.0,740.1,1840.7,216.2
1993,Louisiana,0.0,7.61,7.61,144.5,3143405.0,1909737.0833333333,7.458333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,4295000,1061.7,20.3,42.3,283.6,715.4,5784.9,1368.3,3802.9,613.7
1993,Maine,7.61,7.61,7.61,144.5,948932.0,630447.5,6.816666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1239000,125.7,1.6,26.6,21.3,76.3,3028.2,719.0,2174.7,134.4
1993,Maryland,7.61,7.61,7.61,144.5,3766632.0,2661672.8333333335,5.991666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,4965000,997.8,12.7,44.0,434.7,506.4,5108.7,1132.8,3292.5,683.4
1993,Massachusetts,7.61,7.61,7.61,144.5,4693661.25,3187671.9166666665,7.3,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,6012000,804.9,3.9,33.4,175.7,592.0,4089.0,1001.7,2271.3,816.1
1993,Michigan,6.0,7.61,7.61,144.5,7175073.333333333,4724986.0,7.35,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,9478000,791.5,9.8,71.1,238.5,472.1,4661.0,982.7,3063.2,615.0
1993,Minnesota,7.61,7.61,7.61,144.5,3393198.3333333335,2514312.25,4.841666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,4517000,353.9,3.4,61.9,112.7,175.8,4059.0,844.5,2872.0,342.6
1993,Mississippi,0.0,7.61,7.61,144.5,1950747.0833333333,1213023.8333333333,6.733333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,2643000,433.9,13.5,42.6,139.3,238.4,3984.4,1285.8,2363.5,335.1
1993,Missouri,7.61,7.61,7.61,144.5,3962466.1666666665,2686994.8333333335,6.2250000000000005,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,5234000,744.4,11.3,36.2,241.8,455.2,4351.0,1025.5,2777.8,547.7
1993,Montana,7.61,7.61,7.61,144.5,626483.0833333334,425395.0833333333,6.116666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,839000,177.5,3.0,27.9,32.4,114.2,4612.5,714.2,3652.1,246.2
1993,Nebraska,7.61,7.61,7.61,144.5,1201859.6666666667,864070.6666666666,2.766666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1607000,377.8,3.9,27.8,62.4,283.6,3903.2,663.5,2912.9,326.8
1993,Nevada,7.61,7.61,7.61,144.5,1095255.25,767478.8333333334,6.8999999999999995,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1389000,875.2,10.4,60.9,340.1,463.9,5304.9,1245.0,3321.6,738.3
1993,New Hampshire,7.61,7.61,7.61,144.5,857401.5833333334,620533.1666666666,6.1000000000000005,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1125000,137.8,2.0,44.4,27.3,64.1,2767.2,515.1,2058.0,194.0
1993,New Jersey,7.61,7.61,7.61,144.5,6128491.666666667,4026911.25,7.775,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,7879000,626.9,5.3,28.1,296.0,297.5,4174.0,974.0,2486.1,714.0
1993,New Mexico,6.0,7.61,7.61,144.5,1191936.6666666667,756795.25,7.283333333333334,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,1616000,929.7,8.0,52.1,138.4,731.1,5336.4,1421.2,3510.1,405.1
1993,New York,7.61,7.61,7.61,144.5,14157687.5,8733959.916666666,7.925,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,18197000,1073.5,13.3,27.5,561.2,471.5,4477.8,998.6,2644.2,835.0
1993,North Carolina,6.8,7.61,7.61,144.5,5377367.75,3622937.5,5.116666666666666,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,6945000,679.3,11.3,34.3,192.4,441.3,4973.0,1515.8,3168.8,288.5
1993,North Dakota,7.61,7.61,7.61,144.5,470059.0,321776.6666666667,4.2749999999999995,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,635000,82.2,1.7,23.5,8.3,48.7,2738.1,373.2,2216.2,148.7
1993,Ohio,7.61,7.61,7.61,144.5,8396165.25,5509013.666666667,6.675,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,11091000,504.1,6.0,49.1,192.7,256.3,3981.2,878.1,2667.7,435.3
